Feature,Coefficient,Abs_Coefficient
Weighted Average Shares Diluted Growth,2.1641018696889476,2.1641018696889476
Earnings Before Tax Margin,-1.2784747219354151,1.2784747219354151
Capex to Operating Cash Flow,1.04297196676935,1.04297196676935
Total non-current liabilities,1.0398467544437966,1.0398467544437966
freeCashFlowOperatingCashFlowRatio,1.0305319818623653,1.0305319818623653
Total non-current assets,1.0222659958164366,1.0222659958164366
ROE,0.9939207721156148,0.9939207721156148
returnOnEquity,0.9934911419691786,0.9934911419691786
Other comprehensive income,-0.8660194784164853,0.8660194784164853
Working Capital,-0.7986072107209922,0.7986072107209922
priceToBookRatio,-0.7257263893812924,0.7257263893812924
priceBookValueRatio,-0.7207844404528454,0.7207844404528454
Profit Margin,0.6987063355489331,0.6987063355489331
PTB ratio,-0.6965759624837654,0.6965759624837654
PB ratio,-0.691638682427537,0.691638682427537
Tax Liabilities,-0.6853557647148818,0.6853557647148818
EBITDA Margin,-0.6823135355278872,0.6823135355278872
Deferred revenue,-0.6548922732715634,0.6548922732715634
priceSalesRatio,0.6305408328832255,0.6305408328832255
eBITperRevenue,0.6047146666028773,0.6047146666028773
ebitperRevenue,0.6047146666028773,0.6047146666028773
SG&A to Revenue,-0.5594920126588222,0.5594920126588222
companyEquityMultiplier,0.555290500621977,0.555290500621977
R&D to Revenue,0.5508643298196264,0.5508643298196264
Revenue,-0.5454874005489494,0.5454874005489494
priceFairValue,0.5295482926439045,0.5295482926439045
Invested Capital,0.4908620814150919,0.4908620814150919
Capex to Revenue,-0.4825907562520856,0.4825907562520856
Depreciation & Amortization,-0.425504802995167,0.425504802995167
EBIT Margin,0.41401029925002586,0.41401029925002586
Tangible Book Value per Share,-0.4072554875064495,0.4072554875064495
EBIT,-0.3923794136463142,0.3923794136463142
Price to Sales Ratio,-0.38792802238195223,0.38792802238195223
Cost of Revenue,0.3856896484353913,0.3856896484353913
netProfitMargin,0.3482178290839802,0.3482178290839802
Long-term debt,0.3479815852322876,0.3479815852322876
Book Value per Share,0.3475691621952829,0.3475691621952829
priceToSalesRatio,-0.3293465867881125,0.3293465867881125
Net Profit Margin,-0.3053486410408735,0.3053486410408735
Net Cash/Marketcap,0.3000477894800146,0.3000477894800146
Total assets,-0.29905037753590896,0.29905037753590896
Graham Net-Net,-0.2856295138488768,0.2856295138488768
SG&A Expenses Growth,-0.2840085565827996,0.2840085565827996
Book Value per Share Growth,-0.2584508550986052,0.2584508550986052
EPS Diluted,0.24295465515524747,0.24295465515524747
daysOfInventoryOutstanding,0.2275158207260567,0.2275158207260567
Dividend per Share,-0.21933198900075196,0.21933198900075196
EPS,0.21005268850243367,0.21005268850243367
